<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,25/09/18,11:36,114570.0,114580.0,114530.0,114530.0,437
SPFB.RTS-12.18,1,25/09/18,11:37,114540.0,114580.0,114530.0,114560.0,201
SPFB.RTS-12.18,1,25/09/18,11:38,114570.0,114670.0,114570.0,114660.0,432
SPFB.RTS-12.18,1,25/09/18,11:39,114660.0,114780.0,114650.0,114770.0,1137
SPFB.RTS-12.18,1,25/09/18,11:40,114760.0,114800.0,114700.0,114700.0,880
SPFB.RTS-12.18,1,25/09/18,11:41,114700.0,114760.0,114700.0,114750.0,362
SPFB.RTS-12.18,1,25/09/18,11:42,114750.0,114750.0,114710.0,114720.0,136
SPFB.RTS-12.18,1,25/09/18,11:43,114710.0,114720.0,114670.0,114720.0,479
SPFB.RTS-12.18,1,25/09/18,11:44,114720.0,114770.0,114700.0,114760.0,234
SPFB.RTS-12.18,1,25/09/18,11:45,114760.0,114780.0,114710.0,114750.0,334
SPFB.RTS-12.18,1,25/09/18,11:46,114750.0,114750.0,114680.0,114720.0,299
SPFB.RTS-12.18,1,25/09/18,11:47,114710.0,114740.0,114680.0,114710.0,315
SPFB.RTS-12.18,1,25/09/18,11:48,114700.0,114710.0,114680.0,114690.0,128
SPFB.RTS-12.18,1,25/09/18,11:49,114710.0,114720.0,114680.0,114710.0,198
SPFB.RTS-12.18,1,25/09/18,11:50,114700.0,114760.0,114700.0,114750.0,271
SPFB.RTS-12.18,1,25/09/18,11:51,114750.0,114840.0,114740.0,114810.0,836
SPFB.RTS-12.18,1,25/09/18,11:52,114800.0,114830.0,114750.0,114790.0,584
SPFB.RTS-12.18,1,25/09/18,11:53,114790.0,114840.0,114760.0,114770.0,399
SPFB.RTS-12.18,1,25/09/18,11:54,114780.0,114810.0,114740.0,114800.0,412
SPFB.RTS-12.18,1,25/09/18,11:55,114800.0,114920.0,114800.0,114920.0,1181
SPFB.RTS-12.18,1,25/09/18,11:56,114900.0,114970.0,114870.0,114880.0,941
SPFB.RTS-12.18,1,25/09/18,11:57,114890.0,114920.0,114880.0,114880.0,302
SPFB.RTS-12.18,1,25/09/18,11:58,114900.0,114950.0,114880.0,114890.0,421
SPFB.RTS-12.18,1,25/09/18,11:59,114900.0,114910.0,114870.0,114890.0,321
SPFB.RTS-12.18,1,25/09/18,12:00,114890.0,114910.0,114830.0,114840.0,362
